R1_PWRUSB,128.05,59.80,270.00,100k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,70.55,13.67,180.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,160.48,13.53,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,89.99,59.65,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,153.88,48.99,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,160.36,51.73,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,125.66,55.01,0.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,67.71,11.49,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,65.31,12.47,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,38.33,36.57,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,32.55,47.87,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,75.97,30.97,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,11.89,98.07,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,44.41,36.47,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,65.00,109.00,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,28.47,108.83,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,88.55,49.70,90.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,53.52,108.80,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,82.16,30.99,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,68.55,108.95,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,158.19,9.53,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,65.26,10.35,0.00,,SJ
TP1,12.21,66.15,0.00,TPTP20R,TP20R
TP10,123.10,5.27,0.00,TPTP20R,TP20R
TP11,130.09,5.45,0.00,TPTP20R,TP20R
TP12,82.75,101.37,0.00,TPTP20R,TP20R
TP13,47.60,5.07,0.00,TPTP20R,TP20R
TP14,155.35,62.27,0.00,TPTP20R,TP20R
TP15,87.90,101.37,0.00,TPTP20R,TP20R
TP16,77.29,101.45,0.00,TPTP20R,TP20R
TP17,54.04,5.15,0.00,TPTP20R,TP20R
TP2,15.43,66.15,0.00,TPTP20R,TP20R
TP3,141.35,64.15,0.00,TPTP20R,TP20R
TP4,155.27,65.35,0.00,TPTP20R,TP20R
TP5,110.69,5.35,0.00,TPTP20R,TP20R
TP6,9.11,66.15,0.00,TPTP20R,TP20R
TP7,15.63,26.95,0.00,TPTP20R,TP20R
TP8,10.55,26.95,0.00,TPTP20R,TP20R
TP9,116.97,5.45,0.00,TPTP20R,TP20R
U1,36.20,54.56,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.70,53.74,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,80.25,53.90,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,141.20,54.18,0.00,MAX17048G+T10,SON50P200X200X80-9N
